V1,V2,V3,V4,Class
2,1,250.0,2,1
16,6,1500.0,40,1
4,6,1500.0,35,1
11,2,500.0,11,1
14,2,500.0,14,1
9,3,750.0,52,1
11,3,750.0,28,1
2,1,250.0,2,1
2,15,3750.0,64,1
23,1,250.0,23,1
4,9,2250.0,38,2
4,5,1250.0,74,1
14,4,1000.0,22,2
21,2,500.0,52,1
4,1,250.0,4,1
3,2,500.0,23,1
4,7,1750.0,22,2
7,12,3000.0,86,1
11,2,500.0,24,1
2,6,1500.0,26,2
21,1,250.0,21,1
16,5,1250.0,27,1
2,11,2750.0,26,1
11,5,1250.0,41,1
2,4,1000.0,14,2
14,1,250.0,14,1
11,2,500.0,11,1
14,4,1000.0,28,2
4,1,250.0,4,1
4,1,250.0,4,1
11,2,500.0,21,1
21,4,1000.0,52,1
21,3,750.0,38,1
11,6,1500.0,58,1
11,2,500.0,26,1
2,2,500.0,4,1
4,1,250.0,4,1
9,2,500.0,52,1
2,4,1000.0,16,1
16,1,250.0,16,1
2,2,500.0,4,1
23,1,250.0,23,1
4,9,2250.0,26,2
2,3,750.0,16,2
23,2,500.0,23,1
4,6,1500.0,35,2
23,5,1250.0,58,1
3,4,1000.0,29,2
11,4,1000.0,61,1
14,3,750.0,31,1
4,23,5750.0,58,1
21,5,1250.0,60,1
14,4,1000.0,38,1
16,7,1750.0,38,1
23,1,250.0,23,1
2,10,2500.0,64,1
6,22,5500.0,28,2
2,4,1000.0,16,2
7,5,1250.0,52,1
4,5,1250.0,14,2
12,13,3250.0,59,1
11,9,2250.0,38,1
16,4,1000.0,58,1
16,1,250.0,16,1
12,12,3000.0,58,1
4,3,750.0,24,1
14,4,1000.0,23,2
3,16,4000.0,74,1
11,2,500.0,38,2
38,1,250.0,38,1
16,5,1250.0,60,1
4,6,1500.0,30,1
4,4,1000.0,41,1
16,3,750.0,46,1
21,13,3250.0,57,1
21,2,500.0,23,1
2,10,2500.0,52,1
4,17,4250.0,71,2
4,1,250.0,4,1
14,1,250.0,14,1
8,9,2250.0,58,1
4,5,1250.0,16,2
7,9,2250.0,89,2
4,6,1500.0,43,1
2,2,500.0,2,1
23,1,250.0,23,1
14,2,500.0,35,2
11,3,750.0,76,1
11,1,250.0,11,1
1,12,3000.0,35,1
4,4,1000.0,16,1
2,6,1500.0,16,2
4,1,250.0,4,1
23,2,500.0,38,1
2,13,3250.0,76,2
11,7,1750.0,62,2
14,7,1750.0,45,1
4,2,500.0,23,1
1,7,1750.0,57,1
2,1,250.0,2,1
4,2,500.0,4,1
16,1,250.0,16,1
1,16,4000.0,35,2
2,1,250.0,2,2
2,1,250.0,2,1
1,14,3500.0,58,1
4,7,1750.0,62,1
14,1,250.0,14,1
21,3,750.0,35,1
2,1,250.0,2,2
4,2,500.0,30,1
14,2,500.0,14,2
10,4,1000.0,16,1
